timestamp,rss_kb,cpu_pct
2026-08-17T14:04:26.683Z,180632,13.1
2026-08-17T14:04:27.689Z,182444,13.3
2026-08-17T14:04:28.699Z,183928,13.4
2026-08-17T14:04:29.706Z,180144,13.5
2026-08-17T14:04:30.712Z,182184,13.6
2026-08-17T14:04:31.719Z,183184,13.6
2026-08-17T14:04:32.728Z,185996,13.7
2026-08-17T14:04:33.737Z,180396,13.7
2026-08-17T14:04:34.744Z,183264,13.8
2026-08-17T14:04:35.751Z,183984,13.8
2026-08-17T14:04:36.758Z,186544,13.9
2026-08-17T14:04:37.766Z,182044,13.9
2026-08-17T14:04:38.773Z,183692,13.9
2026-08-17T14:04:39.780Z,185540,14.0
2026-08-17T14:04:40.787Z,182408,14.2
2026-08-17T14:04:41.795Z,184412,14.3
2026-08-17T14:04:42.802Z,185696,14.3
2026-08-17T14:04:43.810Z,187996,14.4
2026-08-17T14:04:44.817Z,183572,14.4
2026-08-17T14:04:45.824Z,184448,14.5
2026-08-17T14:04:46.832Z,186428,14.5
2026-08-17T14:04:47.840Z,188476,14.6
2026-08-17T14:04:48.846Z,183788,14.6
2026-08-17T14:04:49.854Z,184508,14.6
2026-08-17T14:04:50.862Z,186672,14.7
2026-08-17T14:04:51.870Z,187224,14.7
2026-08-17T14:04:52.878Z,183632,14.7
2026-08-17T14:04:53.885Z,185464,14.8
2026-08-17T14:04:54.892Z,187608,15.0
2026-08-17T14:04:55.900Z,183460,15.0
2026-08-17T14:04:56.909Z,185104,15.2
2026-08-17T14:04:57.916Z,187624,15.3
2026-08-17T14:04:58.927Z,184744,15.4
2026-08-17T14:04:59.937Z,187280,15.5
2026-08-17T14:05:00.944Z,190432,15.6
2026-08-17T14:05:01.950Z,183848,15.7
2026-08-17T14:05:02.957Z,183992,15.7
2026-08-17T14:05:03.964Z,184352,15.7
2026-08-17T14:05:04.973Z,185824,15.7
2026-08-17T14:05:05.979Z,183476,15.8
2026-08-17T14:05:06.986Z,184540,15.8
2026-08-17T14:05:07.992Z,185840,15.8
2026-08-17T14:05:09.000Z,186904,15.8
2026-08-17T14:05:10.007Z,183176,15.9
2026-08-17T14:05:11.013Z,183872,15.9
2026-08-17T14:05:12.020Z,186392,15.9
2026-08-17T14:05:13.028Z,182472,16.0
2026-08-17T14:05:14.036Z,184820,16.1
2026-08-17T14:05:15.044Z,187528,16.2
2026-08-17T14:05:16.051Z,182944,16.3
2026-08-17T14:05:17.058Z,184180,16.3
2026-08-17T14:05:18.067Z,185432,16.3
2026-08-17T14:05:19.074Z,186352,16.4
2026-08-17T14:05:20.081Z,183424,16.4
2026-08-17T14:05:21.088Z,183784,16.4
2026-08-17T14:05:22.095Z,185428,16.4
2026-08-17T14:05:23.102Z,186708,16.4
2026-08-17T14:05:24.110Z,183452,16.4
2026-08-17T14:05:25.116Z,184736,16.5
2026-08-17T14:05:26.124Z,187068,16.5
2026-08-17T14:05:27.132Z,189748,16.6
2026-08-17T14:05:28.140Z,185288,16.7
2026-08-17T14:05:29.147Z,187256,16.7
2026-08-17T14:05:30.153Z,188512,16.7
2026-08-17T14:05:31.162Z,182572,16.8
2026-08-17T14:05:32.170Z,182748,16.8
2026-08-17T14:05:33.177Z,185072,16.8
2026-08-17T14:05:34.183Z,185792,16.8
2026-08-17T14:05:35.190Z,183136,16.8
2026-08-17T14:05:36.199Z,184560,16.9
2026-08-17T14:05:37.205Z,186172,16.9
2026-08-17T14:05:38.212Z,186460,16.9
2026-08-17T14:05:39.219Z,185032,16.9
2026-08-17T14:05:40.227Z,187512,17.0
2026-08-17T14:05:41.235Z,189464,17.0
2026-08-17T14:05:42.242Z,184464,17.1
2026-08-17T14:05:43.249Z,186108,17.2
2026-08-17T14:05:44.256Z,188236,17.3
2026-08-17T14:05:45.266Z,184612,17.3
2026-08-17T14:05:46.275Z,186364,17.4
2026-08-17T14:05:47.282Z,187652,17.5
2026-08-17T14:05:48.289Z,184588,17.6
2026-08-17T14:05:49.297Z,185512,17.6
2026-08-17T14:05:50.304Z,187416,17.6
2026-08-17T14:05:51.312Z,184352,17.6
2026-08-17T14:05:52.318Z,184524,17.6
2026-08-17T14:05:53.327Z,187560,17.6
2026-08-17T14:05:54.335Z,187920,17.6
2026-08-17T14:05:55.342Z,187920,17.6
2026-08-17T14:05:56.349Z,193544,17.6
2026-08-17T14:05:57.356Z,194452,17.6
2026-08-17T14:05:58.364Z,195532,17.6
2026-08-17T14:05:59.373Z,186688,17.7
2026-08-17T14:06:00.382Z,189348,17.8
2026-08-17T14:06:01.389Z,185864,17.9
2026-08-17T14:06:02.397Z,186224,17.9
2026-08-17T14:06:03.404Z,187288,17.9
2026-08-17T14:06:04.411Z,186272,17.9
2026-08-17T14:06:05.418Z,186992,17.9
2026-08-17T14:06:06.426Z,187900,17.9
2026-08-17T14:06:07.437Z,105176,18.0
2026-08-17T14:06:08.444Z,108448,18.0
2026-08-17T14:06:09.450Z,109220,18.0
2026-08-17T14:06:10.456Z,109408,17.9
2026-08-17T14:06:11.465Z,112304,18.0
2026-08-17T14:06:12.472Z,113852,18.2
2026-08-17T14:06:13.481Z,119608,18.3
2026-08-17T14:06:14.488Z,119560,18.3
2026-08-17T14:06:15.497Z,120580,18.3
2026-08-17T14:06:16.504Z,123036,18.3
2026-08-17T14:06:17.510Z,121132,18.3
2026-08-17T14:06:18.516Z,121492,18.3
2026-08-17T14:06:19.523Z,121664,18.3
2026-08-17T14:06:20.533Z,124264,18.3
2026-08-17T14:06:21.541Z,124232,18.3
2026-08-17T14:06:22.547Z,124232,18.3
2026-08-17T14:06:23.554Z,121708,18.3
2026-08-17T14:06:24.562Z,122240,18.4
2026-08-17T14:06:25.570Z,122616,18.5
2026-08-17T14:06:26.577Z,122084,18.5
2026-08-17T14:06:27.584Z,122300,18.5
2026-08-17T14:06:28.591Z,122496,18.5
2026-08-17T14:06:29.599Z,125092,18.5
2026-08-17T14:06:30.607Z,130120,18.5
2026-08-17T14:06:31.613Z,131408,18.5
2026-08-17T14:06:32.619Z,139660,18.5
2026-08-17T14:06:33.627Z,139300,18.5
2026-08-17T14:06:34.634Z,139300,18.5
2026-08-17T14:06:35.643Z,142624,18.5
2026-08-17T14:06:36.649Z,139540,18.5
2026-08-17T14:06:37.656Z,139540,18.4
2026-08-17T14:06:38.664Z,139540,18.4
2026-08-17T14:06:39.671Z,139540,18.3
2026-08-17T14:06:40.677Z,139540,18.3
2026-08-17T14:06:41.685Z,139540,18.2
2026-08-17T14:06:42.692Z,139540,18.2
2026-08-17T14:06:43.700Z,139560,18.2
2026-08-17T14:06:44.707Z,139392,18.1
2026-08-17T14:06:45.713Z,139404,18.1
2026-08-17T14:06:46.720Z,139404,18.0
2026-08-17T14:06:47.728Z,139404,18.0
2026-08-17T14:06:48.736Z,139404,17.9
2026-08-17T14:06:49.744Z,139404,17.9
2026-08-17T14:06:50.750Z,139404,17.8
2026-08-17T14:06:51.757Z,139404,17.8
2026-08-17T14:06:52.765Z,145496,17.8
2026-08-17T14:06:53.771Z,145136,17.8
2026-08-17T14:06:54.778Z,139472,17.7
2026-08-17T14:06:55.784Z,139472,17.7
2026-08-17T14:06:56.791Z,139660,17.6
2026-08-17T14:06:57.798Z,139660,17.6
2026-08-17T14:06:58.805Z,139660,17.5
2026-08-17T14:06:59.811Z,139660,17.5
2026-08-17T14:07:00.818Z,139660,17.4
2026-08-17T14:07:01.825Z,139660,17.4
2026-08-17T14:07:02.833Z,139660,17.3
2026-08-17T14:07:03.840Z,139660,17.2
2026-08-17T14:07:04.847Z,140084,17.2
2026-08-17T14:07:05.853Z,147600,17.2
2026-08-17T14:07:06.861Z,146724,17.2
2026-08-17T14:07:07.868Z,146552,17.1
2026-08-17T14:07:08.874Z,146552,17.1
2026-08-17T14:07:09.881Z,146552,17.1
2026-08-17T14:07:10.889Z,146552,17.0
2026-08-17T14:07:11.896Z,146552,16.9
2026-08-17T14:07:12.904Z,146552,16.9
2026-08-17T14:07:13.910Z,146724,16.9
2026-08-17T14:07:14.917Z,146724,16.8
2026-08-17T14:07:15.925Z,146724,16.8
2026-08-17T14:07:16.932Z,146724,16.7
2026-08-17T14:07:17.939Z,146552,16.7
2026-08-17T14:07:18.947Z,146684,16.7
2026-08-17T14:07:19.954Z,146360,16.8
2026-08-17T14:07:20.963Z,146360,16.9
2026-08-17T14:07:21.971Z,146548,17.0
2026-08-17T14:07:22.980Z,146892,17.1
2026-08-17T14:07:23.986Z,145296,17.2
2026-08-17T14:07:24.995Z,144600,17.4
2026-08-17T14:07:26.002Z,144444,17.5
2026-08-17T14:07:27.010Z,144428,17.6
2026-08-17T14:07:28.017Z,144380,17.7
2026-08-17T14:07:29.025Z,144736,17.9
2026-08-17T14:07:30.036Z,145128,18.0
2026-08-17T14:07:31.044Z,145292,18.1
2026-08-17T14:07:32.053Z,145308,18.1
2026-08-17T14:07:33.060Z,145480,18.1
2026-08-17T14:07:34.068Z,145932,18.1
2026-08-17T14:07:35.075Z,145592,18.1
2026-08-17T14:07:36.082Z,145388,18.1
2026-08-17T14:07:37.090Z,146284,18.1
2026-08-17T14:07:38.098Z,146128,18.1
2026-08-17T14:07:39.105Z,145948,18.1
